ET(30) (Solvent),Wavelength (Exp nm)
37.4,750
37.4,760
37.4,750
37.4,750
37.4,740
37.4,750
37.4,760
45.1,750
63.1,800
63.1,720
63.1,720
63.1,700
45.1,700
43.2,710
43.2,710
43.2,740
43.2,760
43.2,740
43.2,740
37.4,690
43.2,900
43.2,960
43.2,960
37.4,890
34.3,960
34.3,960
40.7,725
40.7,725
40.7,725
40.7,725
40.7,725
43.2,730
37.4,800
38.1,800
43.2,875
43.2,825
43.2,850
40.7,705
40.7,720
40.7,705
40.7,690
40.7,680
39.1,800
39.1,800
37.4,650
40.7,1100
43.2,820
43.2,900
43.2,1050
43.2,1100
30.9,790
30.9,810
37.4,790
37.4,830
37.4,830
33.9,750
33.9,730
33.9,600
33.9,620
33.9,600
33.9,600
33.9,600
33.9,600
33.9,730
33.9,600
40.7,620
40.7,700
40.7,630
40.7,780
40.7,800
40.7,850
40.7,815
40.7,1000
40.7,1000
40.7,770
40.7,740
63.1,760
63.1,740
40.7,740
63.1,740
63.1,775
40.7,780
63.1,745
63.1,745
63.1,745
40.7,820
63.1,820
40.7,820
63.1,820
33.9,780
33.9,780
33.9,780
33.9,730
33.9,800
33.9,800
33.9,780
33.9,780
37.4,815
37.4,815
37.4,815
37.4,815
37.4,815
33.9,720
33.9,740
33.9,810
33.9,830
33.9,830
33.9,790
33.9,825
33.9,730
33.9,740
33.9,840
0,640
0,695
0,695
0,605
0,705
0,705
0,800
0,800
37.4,800
37.4,800
37.4,800
33.9,700
33.9,750
33.9,730
33.9,700
33.9,700
33.9,700
33.9,700
33.9,705
33.9,700
33.9,700
33.9,750
33.9,700
33.9,735
33.9,700
33.9,700
33.9,700
33.9,700
33.9,700
33.9,705
33.9,700
33.9,700
33.9,700
37.4,800
37.4,800
37.4,800
37.4,800
37.4,800
37.4,800
55.4,690
45.6,810
45.6,810
45.6,860
45.6,940
45.6,960
45.6,1100
38.1,690
38.1,700
43.2,780
43.2,800
43.2,720
43.2,780
43.2,720
63.1,780
63.1,760
63.1,880
63.1,940
39.1,800
39.1,820
39.1,800
39.1,840
39.1,990
39.1,800
33.9,760
33.9,760
33.9,880
33.9,780
33.9,780
33.9,890
33.9,820
37.4,720
37.4,720
37.4,720
33.9,730
33.9,825
33.9,970
33.9,975
33.9,775
33.9,800
39.1,602
0,720
0,692
39.1,990
39.1,990
39.1,990
45.1,750
45.1,740
45.1,735
45.1,735
45.1,790
45.1,650
45.1,940
45.1,960
45.1,860
45.1,950
45.1,930
39.1,750
39.1,750
39.1,750
33.9,755
33.9,755
33.9,880
33.9,890
33.9,840
33.9,840
33.9,772
33.9,772
39.1,788
39.1,788
39.1,788
39.1,788
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,790
37.4,720
39.1,800
39.1,800
39.1,800
33.9,780
33.9,780
33.9,820
33.9,820
33.9,820
33.9,820
37.4,800
37.4,800
33.9,650
33.9,700
33.9,730
33.9,730
33.9,850
33.9,750
33.9,750
33.9,700
38,770
33.9,740
33.9,740
33.9,740
33.9,740
37.4,750
37.4,790
37.4,770
37.4,720
37.4,750
39.1,696
39.1,788
39.1,758
45.6,680
30.9,600
30.9,600
33.9,970
33.9,950
33.9,950
33.9,800
33.9,700
33.9,685
33.9,685
37.4,685
37.4,685
33.9,800
33.9,800
33.9,700
33.9,700
33.9,810
33.9,730
33.9,740
45.6,720
45.6,760
45.6,820
43.2,820
33.9,840
39.1,850
39.1,760
39.1,850
39.1,740
39.1,750
40.7,820
45.1,760
45.1,760
40.7,740
40.7,840
40.7,740
40.7,740
40.7,800
40.7,830
40.7,740
40.7,810
40.7,740
40.7,830
40.7,800
40.7,800
37.4,760
37.4,760
37.4,760
37.4,760
37.4,820
37.4,800
37.4,800
37.4,740
37.4,740
33.9,850
33.9,750
33.9,850
33.9,750
33.9,750
33.9,830
40.7,770
40.7,770
39.1,820
39.1,830
39.1,650
39.1,650
39.1,730
39.1,820
39.1,820
39.1,880
39.1,880
39.1,1050
39.1,750
39.1,820
39.1,900
39.1,900
39.1,1040
39.1,1100
39.1,800
37.4,675
37.4,750
37.4,690
45.1,700
45.1,700
45.1,700
45.1,700
45.1,700
45.1,700
33.9,650
33.9,650
33.9,650
33.9,650
33.9,700
33.9,700
33.9,700
33.9,700
33.9,700
33.9,720
33.9,730
33.9,720
33.9,720
33.9,784
33.9,818
34.3,840
43.2,840
38.5,700
38.5,720
38.5,760
38.5,780
43.2,850
43.2,700
43.2,750
45.1,730
45.1,730
45.1,730
33.9,827
33.9,747
33.9,880
33.9,600
33.9,750
39.1,800
39.1,800
39.1,800
39.1,800
39.1,800
39.1,800
39.1,800
37.4,890
39.1,750
39.1,750
39.1,850
39.1,850
39.1,900
39.1,950
39.1,950
39.1,1080
39.1,1050
34.3,840
34.3,840
43.2,880
43.2,880
43.2,740
43.2,720
37.4,700
33.9,760
33.9,775
37.4,870
37.4,890
37.4,880
37.4,880
37.4,830
37.4,830
39.1,830
39.1,900
39.1,600
39.1,670
39.1,790
39.1,850
39.1,950
39.1,720
39.1,970
45.1,700
45.1,725
45.1,725
45.1,970
45.1,750
45.1,750
40.7,850
40.7,850
40.7,850
40.7,750
40.7,850
40.7,700
40.7,850
40.7,720
40.7,720
40.7,680
40.7,600
40.7,640
40.7,640
33.9,730
33.9,730
33.9,730
33.9,730
33.9,730
33.9,730
33.9,800
33.9,800
33.9,800
33.9,800
33.9,800
33.9,800
33.9,800
33.9,650
33.9,600
33.9,650
33.9,650
37.4,800
37.4,800
37.4,780
37.4,780
37.4,740
40.7,780
40.7,780
40.7,800
40.7,780
40.7,780
40.7,950
40.7,920
40.7,900
40.7,980
40.7,770
40.7,820
40.7,770
40.7,980
40.7,850
33.9,720
33.9,820
55.4,1050
55.4,1050
55.4,1050
55.4,1050
55.4,1050
55.4,1050
37.4,770
37.4,980
43.2,840
43.2,840
43.2,840
43.2,840
33.9,800
33.9,790
33.9,725
39.1,800
37.4,810
37.4,760
37.4,760
37.4,830
37.4,810
37.4,810
37.4,810
37.4,760
37.4,800
63.1,650
40.7,690
55.4,800
55.4,700
55.4,700
32.4,800
31,610
40.7,610
40.7,780
40.7,780
40.7,780
43.2,720
43.2,720
39.1,800
39.1,800
39.1,800
39.1,800
37.4,720
37.4,775
37.4,800
37.4,800
37.4,800
37.4,800
37.4,800
37.4,800
33.9,712
33.9,842
33.9,728
33.9,809
33.9,760
33.9,740
33.9,816
33.9,730
33.9,780
33.9,750
33.9,825
33.9,850
33.9,790
33.9,750
33.9,820
33.9,790
39.1,810
39.1,860
39.1,830
39.1,820
39.1,860
39.1,860
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
33.9,780
33.9,780
33.9,780
39.1,800
39.1,800
39.1,790
39.1,790
39.1,790
33.9,780
33.9,780
33.9,780
33.9,780
33.9,780
33.9,780
33.9,720
33.9,720
33.9,780
0,850
33.9,745
33.9,760
33.9,970
33.9,970
37.4,840
33.9,740
39.4,796
37.4,790
39.4,796
39.1,740
40.7,600
40.7,800
40.7,800
33.9,730
33.9,730
33.9,835
33.9,800
33.9,790
33.9,745
33.9,745
33.9,750
45.1,765
45.1,730
33.9,740
33.9,740
33.9,740
39.1,740
33.9,740
33.9,770
33.9,740
33.9,740
33.9,740
33.9,755
33.9,800
39.1,760
39.4,796
37.4,750
37.4,747
37.4,840
37.4,748
37.4,761
39.1,740
39.1,752
40.7,600
40.7,600
33.9,760
33.9,800
33.9,770
33.9,770
33.9,980
33.9,980
33.9,800
33.9,980
33.9,1000
33.9,770
33.9,750
33.9,700
0,675
0,720
39.1,800
39.1,800
45.1,700
45.1,700
33.9,780
33.9,800
33.9,780
33.9,780
33.9,820
33.9,850
33.9,1000
33.9,990
33.9,1050
37.4,750
33.9,760
33.9,760
43.2,600
43.2,600
43.2,600
45.6,720
45.6,750
37.4,710
37.4,690
37.4,840
33.9,750
33.9,675
33.9,625
33.9,625
37.4,740
55.4,720
40.7,630
51.9,700
51.9,800
37.4,1080
37.4,1080
37.4,880
40.7,650
40.7,650
33.9,800
33.9,800
31,730
45.1,700
43.2,840
33.9,840
63.1,780
63.1,780
63.1,800
63.1,780
43.2,720
43.2,760
43.2,760
43.2,720
43.2,750
43.2,750
43.2,750
43.2,690
43.2,720
43.2,840
43.2,690
43.2,700
43.2,940
43.2,940
43.2,860
43.2,860
43.2,720
43.2,700
43.2,780
43.2,780
43.2,780
43.2,780
43.2,780
33.9,930
33.9,910
33.9,910
33.9,910
33.9,890
33.9,900
40.7,600
40.7,600
40.7,600
33.9,810
33.9,810
33.9,910
33.9,800
33.9,730
33.9,730
33.9,730
33.9,730
33.9,730
37.4,700
37.4,700
37.4,760
37.4,760
37.4,700
40.7,750
40.7,800
40.7,720
40.7,720
40.7,720
40.7,860
39.1,850
39.1,800
39.1,870
39.1,880
39.1,880
51.9,850
51.9,760
51.9,900
39.1,780
39.1,820
39.1,820
39.1,820
39.1,820
43.2,700
43.2,800
43.2,700
43.2,700
33.9,730
33.9,760
33.9,730
33.9,800
33.9,800
36,940
37.4,1040
36,900
36,970
33.9,970
33.9,970
33.9,970
33.9,970
45.6,760
45.6,760
43.2,850
43.2,750
43.2,750
43.2,800
37.4,780
37.4,760
37.4,700
37.4,700
45.6,800
45.6,800
45.6,800
45.6,800
37.4,860
37.4,860
39.1,860
33.9,600
33.9,780
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,800
40.7,710
37.4,860
37.4,860
37.4,860
37.4,780
37.4,780
37.4,830
37.4,830
37.4,830
37.4,830
55.4,720
55.4,720
55.4,800
55.4,860
55.4,760
37.4,800
37.4,760
37.4,760
43.2,780
43.2,780
37.4,840
37.4,840
37.4,840
37.4,820
37.4,800
37.4,800
37.4,800
37.4,820
37.4,800
37.4,800
37.4,800
34.3,700
34.3,700
34.3,800
34.3,800
43.2,710
43.2,710
43.2,710
34.3,800
34.3,820
34.3,800
34.3,820
34.3,820
34.3,820
37.4,750
37.4,750
37.4,750
37.4,750
37.4,750
37.4,800
45.6,775
45.6,775
32.4,990
63.1,710
63.1,710
63.1,800
37.4,780
37.4,820
